package,owner,category,sub_category
CheapThreads,JuliaSIMD,Super Computing,Parallel Computing
ChemistryFeaturization,Chemellia,Chemistry,Chemoinformatics
CImGui,Gnimuc,Desktop Applications,GUI
Clapeyron,ClapeyronThermo,Chemistry,Thermochemistry
Clarabel,oxfordcontrol,Optimization,
Classes,rjplevin,Programming Paradigms,DSL
ClassicalOrthogonalPolynomials,JuliaApproximation,Mathematics,Polynomials
ClearStacktrace,jkrumbiegel,Programming Paradigms,Macro
ClimaAtmos,CliMA,Earth Science,Meteorology
ClimaCore,CliMA,Earth Science,Climatology
ClimateBase,JuliaClimate,Earth Science,Climatology
ClimateMachine,CliMA,Earth Science,Climatology
ClimateMARGO,ClimateMARGO,Earth Science,Climatology
ClimateModels,gaelforget,Earth Science,Climatology
ClimateSatellite,JuliaClimate,Earth Science,Climatology
ClimaTimeSteppers,CliMA,Earth Science,Climatology
ClipData,pdeffebach,File IO,Tabular Data
ClosedLoopReachability,JuliaReach,Mathematics,Integral Equation
ClustForOpt,holgerteichgraeber,Algorithms,
CMBLensing,marius311,Physics,
Cobweb,JuliaComputing,Desktop Applications,
CodecZlib,JuliaIO,Utilities,File Compression
CoherentNoise,mfiano,Graphics,2D Vector Graphics
Colors,JuliaGraphics,Graphics,Graphical Plotting
ColorSchemes,JuliaGraphics,Graphics,2D Vector Graphics
Coluna,atoptima,Optimization,Linear Programming Optimization
Combinatorics,JuliaMath,Mathematics,Combinatorics
CombinedParsers,gkappler,Programming Paradigms,DSL
CombineML,ppalmes,AI,Machine Learning
CommonMark,MichaelHatherly,i18n-L10n,Unicode
CommonRLInterface,JuliaReinforcementLearning,AI,Reinforcement Learning
Comonicon,comonicon,Programming Paradigms,DSL
CompatHelper,JuliaRegistries,DevOps,
CompEcon,QuantEcon,Mathematics,Numerical Analysis
ComponentArrays,jonniedie,Mathematics,General Differential Equations
Compose,GiovineItalia,Graphics,2D Vector Graphics
CompTime,AlgebraicJulia,Programming Paradigms,Metaprogramming
ComputationalResources,timholy,Programming Paradigms,Automatic Programming
ComputedFieldTypes,vtjnash,Programming Paradigms,Metaprogramming
ConcreteStructs,jonniedie,Programming Paradigms,Macro
ConcurrentCollections,JuliaConcurrent,Super Computing,Concurrency
CondaPkg,cjdoris,DevOps,
Conductor,wsphillips,Biology,Neuroscience
Configurations,Roger-luo,Programming Paradigms,DSL
ConformalPrediction,JuliaTrustworthyAI,AI,Machine Learning
ConstraintSolver,Wikunia,Algorithms,Scheduling Algorithm
ConstructiveGeometry,plut,Desktop Applications,
ContactImplicitMPC,dojo-sim,Physics,
Continuables,jolin-io,Programming Paradigms,Functional Programming
CoordinateTransformations,JuliaGeometry,Mathematics,Geometry
Copulas,lrnv,Mathematics,Numerical Analysis
COSMO,oxfordcontrol,Optimization,
CounterfactualExplanations,JuliaTrustworthyAI,AI,Machine Learning
CovarianceEstimation,mateuszbaran,Mathematics,Matrix Theory
CpuId,m-j-w,Super Computing,
Crayons,KristofferC,Utilities,Terminal
Crystalline,thchr,Physics,
CSTParser,julia-vscode,Programming Paradigms,
CSV,JuliaData,File IO,Data Formats
Cthulhu,JuliaDebug,Programming Paradigms,Static Analysis
CuArrays,JuliaGPU,Super Computing,
CUDAdrv,JuliaGPU,Super Computing,GPGPU
CxxInterface,eschnett,API,Cxx
DaemonMode,dmolina,Programming Paradigms,Reactive Programming
DaggerGPU,JuliaGPU,Super Computing,GPGPU
Dash,plotly,Desktop Applications,GUI
dash-bootstrap-components,facultyai,Server,Frameworks
dash-html-components,plotly,Server,Frameworks
dash-table,plotly,Data Science,Software
dash-vtk,plotly,Graphics,Computer Vision
Dashboards,waralex,Server,Web
DataArrays,JuliaStats,Database,
DataAssim,Alexander-Barth,Earth Science,Meteorology
DataAugmentation,FluxML,AI,Machine Learning
DataDeps,oxinabox,Data Science,Software
DataDrivenDiffEq,SciML,Physics,
DataFrameMacros,jkrumbiegel,Programming Paradigms,Functional Programming
DataLoaders,lorenzoh,AI,Machine Learning
DataSets,JuliaComputing,Data Science,
DataStreams,JuliaData,Database,
DBInterface,JuliaDatabases,Database,
Debugger,JuliaDebug,Desktop Applications,Debugger
Decentralized-Internet,Lonero-Team,Super Computing,Distributed Computing
Deconvolution,JuliaDSP,Graphics,Image Processing
DeconvOptim,roflmaostc,Biology,Miocroscopy
DeepDiffs,ssfrr,Algorithms,Collaborative Filtering
DeepEquilibriumNetworks,SciML,Programming Paradigms,Functional Programming
DefaultApplication,tpapp,Desktop Applications,
DelayDiffEq,SciML,Mathematics,General Differential Equations
DemoCards,JuliaDocs,Programming Paradigms,DSL
Denumpyfy,miguelraz,Programming Paradigms,Interpreters
DFTK,JuliaMolSim,Physics,Quantum Physics
Diagonalizations,Marco-Congedo,Mathematics,
Dictionaries,andyferris,Algorithms,
Dierckx,kbarbary,Mathematics,Polynomials
DiffEqBase,SciML,Mathematics,General Differential Equations
DiffEqBayes,SciML,Probability & Statistics,Bayesian
DiffEqBiological,SciML,Biology,Bioinformatics
DiffEqCallbacks,SciML,Mathematics,General Differential Equations
DiffEqDevTools,SciML,Mathematics,General Differential Equations
DiffEqFlux,SciML,AI,Machine Learning
DiffEqGPU,SciML,Super Computing,Parallel Computing
DiffEqJump,SciML,Mathematics,Math
DiffEqNoiseProcess,SciML,Mathematics,General Differential Equations
DiffEqOperators,SciML,Mathematics,General Differential Equations
DiffEqParamEstim,SciML,Mathematics,General Differential Equations
DiffEqPhysics,SciML,Physics,
DiffEqProblemLibrary,SciML,Mathematics,General Differential Equations
DiffEqTutorials,SciML,Resources,Tutorials and Workshops
DiffEqUncertainty,SciML,Mathematics,General Differential Equations
DifferentiableCollisions,kevin-tracy,Physics,
DifferentiableStateSpaceModels,HighDimensionalEconLab,Probability & Statistics,
DifferentiableTrajectoryOptimization,lassepe,Optimization,Nonlinear Programming
DifferentialDynamicProgramming,baggepinnen,Physics,
DiffOpt,jump-dev,Optimization,Linear Programming Optimization
DiffRules,JuliaDiff,Mathematics,Calculus
DimensionalData,rafaqz,Data Science,
DiscreteEvents,JuliaDynamics,Algorithms,Scheduling Algorithm
DiskArrays,meggart,File IO,Data Formats
DistributionsAD,TuringLang,Probability & Statistics,
DitherPunk,JuliaImages,Graphics,Image Processing
DIVAnd,gher-uliege,Earth Science,
DLPack,pabloferz,Programming Paradigms,Interpreters
DocumenterCitations,ali-ramadhan,Publications,Publishing Software Tools
DocumentFormat,julia-vscode,Programming Paradigms,Automatic Programming
Dojo,dojo-sim,AI,Machine Learning
DomainSets,JuliaApproximation,Mathematics,Set Theory
DotNET,azurefx,Programming Paradigms,Interpreters
DoubleFloats,JuliaMath,Mathematics,
Downloads,JuliaLang,Programming Paradigms,Multiple Dispatch
DrWatson,JuliaDynamics,Data Science,Software
DTables,JuliaParallel,Database,Distributed
DuckDB,duckdb,Database,Engines
DynamicalSystemsBase,JuliaDynamics,Physics,Complex Systems
DynamicAxisWarping,baggepinnen,Mathematics,Functions
DynamicExpressions,SymbolicML,Programming Paradigms,Automatic Programming
DynamicGrids,cesaraustralia,Algorithms,
DynamicHMC,tpapp,Probability & Statistics,Probabilistic Programming
DynamicPolynomials,JuliaAlgebra,Mathematics,Polynomials
EarthEngine,KMarkert,Earth Science,GIS
EasyML,OML-NPA,AI,Machine Learning
EasyModelAnalysis,SciML,Data Science,Software
ECharts,randyzwitch,Desktop Applications,Jupyter
EcologicalNetworks,PoisotLab,Biology,Ecology
EconPDEs,matthieugomez,Mathematics,General Differential Equations
EcoSISTEM,EcoJulia,Earth Science,Climatology
Eirene,Eetion,Algorithms,Pattern Matching
ElasticArrays,JuliaArrays,Programming Paradigms,
ElectronDisplay,queryverse,Desktop Applications,GUI
EllipsisNotation,SciML,Mathematics,
Embeddings,JuliaText,AI,Machine Learning
EmpiricalCDFs,jlapeyre,Probability & Statistics,
EnhancedGJK,JuliaRobotics,Mathematics,Computational Geometry
EnsembleKalmanProcesses,CliMA,Earth Science,Climatology
EnumX,fredrikekre,Programming Paradigms,DSL
Enzyme,EnzymeAD,AI,Machine Learning
Erdos,CarloLucibello,Mathematics,Graph Theory
ErrorTypes,jakobnissen,Programming Paradigms,Control Flow
Espresso,dfdx,Programming Paradigms,Macro
Evolutionary,wildart,Algorithms,
EvoTrees,Evovest,AI,Machine Learning
Example,JuliaLang,DevOps,Continuous Integration
ExaPF,exanauts,Super Computing,
ExcelFiles,queryverse,File IO,Data Formats
ExplainableAI,adrhill,AI,Machine Learning
ExponentialUtilities,SciML,Mathematics,Functions
Expronicon,Roger-luo,Programming Paradigms,Metaprogramming
ExprOptimization,sisl,Algorithms,
ExprTools,invenia,Programming Paradigms,Metaprogramming
FastAI,FluxML,AI,Machine Learning
FastBroadcast,YingboMa,Optimization,
FastChebInterp,JuliaMath,Mathematics,Polynomials
FastClosures,c42f,Programming Paradigms,Functional Programming
FASTX,BioJulia,Biology,Bioinformatics
FDM,JuliaDiff,Mathematics,Numerical Analysis
FeatureTransforms,invenia,Data Science,Software
FEniCS,SciML,Mathematics,Numerical Analysis
Ferrite,Ferrite-FEM,Mathematics,
FFTW,JuliaMath,Mathematics,FFT
FilePathsBase,rofinn,Utilities,
FileTrees,shashi,File IO,
FillArrays,JuliaArrays,Programming Paradigms,
FinancialDerivatives,JuliaQuant,Actuarial Science,Finance
FinancialToolbox,rcalxrc08,Actuarial Science,Finance
Finch,willow-ahrens,Mathematics,Sparse Matrices
FinEtools,PetrKryslUCSD,Mathematics,
FiniteDiff,JuliaDiff,Mathematics,Numerical Analysis
FiniteDifferences,JuliaDiff,Mathematics,Numerical Analysis
Fire,ylxdzsw,Programming Paradigms,Automatic Programming
FlameGraphs,timholy,Desktop Applications,GUI
FlashWeave,meringlab,Biology,Ecology
FlightMechanics,AlexS12,Earth Science,Aeronautics
FloatingTableView,pdeffebach,Desktop Applications,
FLoops,JuliaFolds,Super Computing,Parallel Computing
Flux3D,FluxML,Graphics,3D
FluxArchitectures,sdobber,AI,Neural Networks
FluxJS,FluxML,AI,Machine Learning
FluxMPI,avik-pal,Super Computing,Distributed Computing
FluxOptTools,baggepinnen,AI,Machine Learning
FluxTraining,FluxML,AI,Machine Learning
FMI,ThummeTo,Physics,
FMIFlux,ThummeTo,AI,Neural Networks
Folds,JuliaFolds,Algorithms,Scheduling Algorithm
FoldsCUDA,JuliaFolds,Super Computing,Parallel Computing
Forecast,viraltux,Probability & Statistics,Temporal
ForneyLab,biaslab,AI,Machine Learning
ForwardDiff2,YingboMa,Mathematics,Numerical Analysis
FourierAnalysis,Marco-Congedo,Mathematics,DSP
FourierFlows,FourierFlows,Physics,Fluid Dynamics
FourierTools,bionanoimaging,Mathematics,DSP
FractionalDiffEq,SciFracX,Mathematics,General Differential Equations
Franklin,tlienart,Desktop Applications,Documentation Tools
FranklinTemplates,tlienart,Server,Web
FrankWolfe,ZIB-IOL,Optimization,Linear Programming Optimization
FunctionalModels,tshort,Physics,
FunctionWrappers,yuyichao,Programming Paradigms,
Functors,FluxML,Programming Paradigms,Functional Programming
FundamentalsNumericalComputation,fncbook,Mathematics,Numerical Analysis
FunSQL,MechanicalRabbit,Programming Paradigms,DSL
FwiFlow,lidongzh,Physics,Fluid Dynamics
Gadfly,GiovineItalia,Graphics,Graphical Plotting
GADM,JuliaGeo,Earth Science,GIS
Gaius,MasonProtter,Super Computing,Parallel Computing
GalacticOptim,SciML,Optimization,
GaloisFields,tkluck,Mathematics,
GameTheory,QuantEcon,Mathematics,
GameZero,aviks,Programming Paradigms,DSL
GAMS,GAMS-dev,Optimization,Linear Programming Optimization
GAP,oscar-system,Mathematics,Symbolic Computation
GasModels,lanl-ansi,Physics,Fluid Dynamics
GaussianFilters,sisl,Mathematics,Numerical Analysis
GaussianRandomFields,PieterjanRobbe,Probability & Statistics,
GemmKernels,JuliaGPU,Mathematics,Matrix Theory
Gen,probcomp,Probability & Statistics,Probabilistic Programming
GeneralizedGenerated,JuliaStaging,Programming Paradigms,Macro
GenericLinearAlgebra,JuliaLinearAlgebra,Mathematics,Linear Algebra
GenericSVD,JuliaLinearAlgebra,Mathematics,Numerical Linear Algebra
GenericTensorNetworks,QuEraComputing,Algorithms,
GeneticsMakie,mmkim1210,Biology,Genomics
GeneticVariation,BioJulia,Biology,Bioinformatics
Genie,GenieFramework,Server,Frameworks
GeoArrays,evetion,Earth Science,GIS
GeoDataFrames,evetion,Earth Science,GIS
GeoMakie,MakieOrg,Earth Science,GIS
GeometricIntegrators,JuliaGNI,Mathematics,General Differential Equations
GeometryBasics,JuliaGeometry,Mathematics,Geometry
GeophysicalFlows,FourierFlows,Physics,Fluid Dynamics
GFlops,triscale-innov,Mathematics,
Ghost,dfdx,Programming Paradigms,Automatic Programming
Glimmer,galran,Desktop Applications,GUI
Gloria,dalum,Graphics,2D Vector Graphics
Glyphy,cormullion,Utilities,
Gmsh,JuliaFEM,Mathematics,Computational Geometry
Gnuplot,gcalderone,Graphics,Graphical Plotting
GpABC,tanhevg,Biology,Bioinformatics
GPLikelihoods,JuliaGaussianProcesses,Probability & Statistics,Gaussian
GPUArrays,JuliaGPU,Super Computing,GPGPU
GPUCompiler,JuliaGPU,Super Computing,Compilers
GPUifyLoops,vchuravy,Super Computing,GPGPU
GraphMakie,MakieOrg,Graphics,Graphical Plotting
GraphNeuralNetworks,CarloLucibello,AI,Machine Learning
GraphQLClient,DeloitteOptimalReality,API,
Gridap,gridap,Mathematics,Numerical Analysis
GridapDistributed,gridap,Super Computing,
GridapMakie,gridap,Mathematics,Geometry
GridapODEs,gridap,Physics,Fluid Dynamics
GridWorlds,JuliaReinforcementLearning,AI,Reinforcement Learning
Groebner,sumiya11,Mathematics,Algebra
gRPCClient,JuliaComputing,Programming Paradigms,Interpreters
GtkReactive,JuliaGizmos,Desktop Applications,GUI
GXBeam,byuflowlab,Physics,
HCubature,JuliaMath,Mathematics,Numerical Analysis
HighDimPDE,SciML,Mathematics,General Differential Equations
Highlights,JuliaDocs,Desktop Applications,IDE
HiGHS,jump-dev,Optimization,
HomotopyContinuation,JuliaHomotopyContinuation,Mathematics,Polynomials
HTTP,JuliaWeb,Server,
Hungarian,Gnimuc,Algorithms,Pattern Matching
HybridArrays,JuliaArrays,Mathematics,
Hypatia,chriscoey,Optimization,Nonlinear Programming
HypergeometricFunctions,JuliaMath,Mathematics,Special Functions
Hyperopt,baggepinnen,Optimization,
HypertextLiteral,JuliaPluto,Server,HTML-CSS
IJulia,JuliaLang,Desktop Applications,Jupyter
ImageClipboard,hyrodium,Graphics,Image Processing
ImageInTerminal,JuliaImages,Graphics,Image Processing
ImageTransformations,JuliaImages,Graphics,Image Processing
ImplicitDifferentiation,gdalle,Mathematics,Calculus
ImplicitGlobalGrid,eth-cscs,Super Computing,
ImPlot,wsphillips,Graphics,Graphical Plotting
Impute,invenia,Data Science,Software
IncrementalInference,JuliaRobotics,Algorithms,
Indicators,dysonance,Mathematics,Numerical Analysis
InferOpt,axelparmentier,Optimization,Nonlinear Programming
Infiltrator,JuliaDebug,Desktop Applications,Debugger
InfiniteOpt,infiniteopt,Optimization,Nonlinear Programming
InformationMeasures,Tchanders,Algorithms,
InMemoryDatasets,sl-solution,Database,In-Memory Storage
InspectDR,ma-laforge,Graphics,Graphical Plotting
Integrals,SciML,Mathematics,Integral Equation
IntelVectorMath,JuliaMath,Mathematics,Functions
InteractiveChaos,JuliaDynamics,Physics,Complex Systems
InteractiveCodeSearch,tkf,Programming Paradigms,Macro
InteractiveDynamics,JuliaDynamics,Physics,Complex Systems
InteractiveErrors,MichaelHatherly,Programming Paradigms,Control Flow
InteractiveViz,org-arl,Graphics,
Interfaces,rafaqz,Programming Paradigms,Macro
IntervalArithmetic,JuliaIntervals,Mathematics,Computer Arithmetic
IntervalConstraintProgramming,JuliaIntervals,Mathematics,Numerical Analysis
IntervalOptimisation,JuliaIntervals,Optimization,Nonlinear Programming
IntervalRootFinding,JuliaIntervals,Mathematics,Numerical Analysis
IntervalSets,JuliaMath,Mathematics,Set Theory
InvertedIndices,JuliaData,Algorithms,Pattern Matching
InvertibleNetworks,slimgroup,AI,Neural Networks
InvestorsExchange,lukemerrick,Actuarial Science,Finance
IonCLI,Roger-luo,DevOps,Build Automation
IonSim,HaeffnerLab,Physics,Quantum Mechanics
IRViz,JuliaComputing,Programming Paradigms,Functional Programming
ITensors,ITensor,Physics,
IterableTables,queryverse,Database,
IterTools,JuliaCollections,Programming Paradigms,Functional Programming
Javis,JuliaAnimators,Graphics,2D Vector Graphics
Jaynes,femtomc,Probability & Statistics,Probabilistic Programming
JDF,xiaodaigh,File IO,Data Formats
JET,aviatesk,Programming Paradigms,Static Analysis
JETTest,aviatesk,Programming Paradigms,Static Analysis
jInv,JuliaInv,Mathematics,Numerical Analysis
Jive,wookay,DevOps,Unit Tests
JLBoost,xiaodaigh,AI,Machine Learning
JLD2,JuliaIO,File IO,Data Formats
jlpkg,fredrikekre,DevOps,
JLSO,invenia,File IO,Data Formats
JMcDM,jbytecode,Algorithms,
jnumpy,Suzhou-Tongyuan,Programming Paradigms,Interpreters
JSON3,quinnj,Programming Paradigms,Serialization
JsonGrinder,CTUAvastLab,File IO,JSON
JSOSolvers,JuliaSmoothOptimizers,Optimization,
JSServe,SimonDanisch,Desktop Applications,IDE
JUDI,slimgroup,Earth Science,Aeronautics
JuDoc,tlienart,Desktop Applications,Jupyter
JuDocTemplates,tlienart,Desktop Applications,Jupyter
julia,JuliaLang,Programming Paradigms,Interpreters
JuliaCon,JuliaCon,Resources,Jupyter Notebooks
JuliaDBMeta,JuliaData,Database,In-Memory Storage
JuliaFormatter,domluna,Programming Paradigms,Automatic Programming
JuliaSyntax,JuliaLang,Programming Paradigms,DSL
JuliaWebAPI,JuliaWeb,API,
JuliaZH,JuliaCN,i18n-L10n,Unicode
JuLIP,JuliaMolSim,Chemistry,
Julog,ztangent,Programming Paradigms,
JumpProcesses,SciML,Mathematics,Computational Geometry
Juno,JunoLab,Desktop Applications,IDE
JustSayIt,omlins,AI,Speech Recognition
Kaleido,tkf,Algorithms,
Kalman,mschauer,Mathematics,General Differential Equations
Karnak,cormullion,Graphics,Graphical Plotting
KernelAbstractions,JuliaGPU,Super Computing,HPC
KernelFunctions,JuliaGaussianProcesses,Algorithms,Pattern Matching
KeywordDispatch,simonbyrne,Programming Paradigms,Control Flow
Kinetic,vavrines,Physics,Fluid Dynamics
KittyTerminalImages,simonschoelly,Desktop Applications,GUI
KomaMRI,cncastillo,Physics,Medical Physics
Kroki,bauglir,Graphics,Infographics
KrylovKit,Jutho,Mathematics,Linear Algebra
KrylovMethods,JuliaInv,Mathematics,Numerical Linear Algebra
LabelledArrays,SciML,Mathematics,Matrix Theory
Laplacians,danspielman,Mathematics,Graph Theory
LaTeXTabulars,tpapp,File IO,LaTeX
LatticeQCD,akio-tomiya,Physics,Quantum Physics
LazySets,JuliaReach,Algorithms,Scheduling Algorithm
LeastSquaresOptim,matthieugomez,Optimization,Nonlinear Programming
Lerche,jamesrhester,Programming Paradigms,DSL
LibCEED,CEED,Mathematics,Numerical Analysis
LibGEOS,JuliaGeo,Earth Science,GIS
LibSerialPort,JuliaIO,Machines,Microcontrollers
LightGBM,IQVIA-ML,AI,Machine Learning
LightOSM,DeloitteOptimalReality,Earth Science,GIS
LIKWID,JuliaPerf,Super Computing,Benchmarks
Lilith,dfdx,AI,
LinearAlgebraicRepresentation,cvdlab,Mathematics,Linear Algebra
LinearSolve,SciML,Mathematics,Numerical Analysis
LineSearches,JuliaNLSolvers,Optimization,Nonlinear Programming
LinRegOutliers,jbytecode,Probability & Statistics,Regression
LinuxPerf,JuliaPerf,Super Computing,HPC
Literate,fredrikekre,Desktop Applications,Documentation Tools
LiveServer,tlienart,Server,
LocalCoverage,JuliaCI,Programming Paradigms,
LocalRegistry,GunnarFarneback,Programming Paradigms,Automatic Programming
LogarithmicNumbers,cjdoris,Mathematics,Functions
LogDensityProblems,tpapp,Mathematics,Numerical Analysis
LogExpFunctions,JuliaStats,Mathematics,Special Functions
LoggingExtras,JuliaLogging,Super Computing,Code Analyzer
LogicCircuits,Juice-jl,Programming Paradigms,Automata
LowLevelParticleFilters,baggepinnen,Algorithms,Scheduling Algorithm
Luna,LupoLab,Physics,
Lux,LuxDL,AI,Machine Learning
MadNLP,MadNLP,Optimization,Nonlinear Programming
Mads,madsjulia,Optimization,Nonlinear Programming
MagneticReadHead,oxinabox,Programming Paradigms,Control Flow
MakieGallery,JuliaPlots,Graphics,Graphical Plotting
MakieLayout,jkrumbiegel,Graphics,Graphical Plotting
MakiePublication,liuyxpp,Graphics,Graphical Plotting
MakieTeX,JuliaPlots,Desktop Applications,Documentation Tools
Mamba,brian-j-smith,Probability & Statistics,Bayesian
Manifolds,JuliaManifolds,Mathematics,Geometry
ManifoldsBase,JuliaManifolds,Mathematics,Geometry
Manopt,JuliaManifolds,Optimization,
MarketData,JuliaQuant,Actuarial Science,Finance
MarkovModels,FAST-ASR,Probability & Statistics,Markovian
MathematicalSystems,JuliaReach,Mathematics,
MathOptFormat,odow,Optimization,Linear Programming Optimization
MathOptInterface,jump-dev,Optimization,Linear Programming Optimization
MathTeXEngine,Kolaru,Mathematics,Symbolic Computation
